,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
A,33.0,0.36666666666666664,"(4.181818181818182, 4.848484848484849)","(0.35353535353535354, 0.4810606060606061)","(166.24242424242425, 146.9090909090909)","(0.5308689761950842, 0.46913102380491584)"
B,40.0,0.4444444444444444,"(3.85, 4.2)","(0.31666666666666665, 0.4)","(300.4, 245.10000000000002)","(0.5506874427131072, 0.4493125572868928)"
C,25.0,0.2777777777777778,"(3.96, 4.0)","(0.3288888888888889, 0.375)","(250.0, 142.96000000000004)","(0.6361970684039088, 0.3638029315960913)"
D,27.0,0.3,"(4.555555555555555, 3.8518518518518516)","(0.3950617283950617, 0.35648148148148145)","(239.4074074074074, 164.66666666666666)","(0.5924839596700275, 0.4075160403299725)"
E,31.0,0.38271604938271603,"(2.870967741935484, 4.0)","(0.2338709677419355, 0.375)","(280.0, 109.48387096774195)","(0.7189001159516316, 0.28109988404836844)"
F,26.0,0.3611111111111111,"(2.4615384615384617, 3.230769230769231)","(0.2087912087912088, 0.27884615384615385)","(184.6153846153846, 72.46153846153845)","(0.7181328545780968, 0.281867145421903)"
G,30.0,0.3333333333333333,"(4.533333333333333, 4.1)","(0.3925925925925926, 0.38749999999999996)","(254.70000000000005, 195.4666666666667)","(0.5657904479822288, 0.43420955201777117)"
H,32.0,0.32323232323232326,"(3.875, 4.0)","(0.2875, 0.375)","(180.0, 275.5)","(0.3951701427003293, 0.6048298572996706)"
I,18.0,0.5,"(1.5, 4.0)","(0.16666666666666666, 0.375)","(120.0, 4.5)","(0.963855421686747, 0.03614457831325301)"
J,22.0,0.3055555555555556,"(4.545454545454546, 4.0)","(0.5064935064935066, 0.375)","(184.0, 53.45454545454545)","(0.7748851454823891, 0.22511485451761104)"
K,37.0,0.4111111111111111,"(3.5135135135135136, 4.27027027027027)","(0.2792792792792793, 0.40878378378378377)","(231.2972972972973, 187.24324324324323)","(0.5526281802918765, 0.44737181970812345)"
L,23.0,0.3194444444444444,"(2.260869565217391, 4.869565217391305)","(0.18012422360248445, 0.4836956521739131)","(182.60869565217385, 62.434782608695656)","(0.7452093683463449, 0.2547906316536552)"
M,33.0,0.3055555555555556,"(5.545454545454546, 3.4545454545454546)","(0.4132231404958678, 0.3068181818181818)","(168.18181818181813, 298.1818181818181)","(0.3606237816764133, 0.6393762183235867)"
N,29.0,0.29292929292929293,"(4.862068965517241, 4.0344827586206895)","(0.38620689655172413, 0.3793103448275862)","(160.96551724137927, 197.448275862069)","(0.4491052530305945, 0.5508947469694055)"
O,32.0,0.32323232323232326,"(5.0, 4.0)","(0.4, 0.375)","(268.0, 268.0)","(0.5, 0.5)"
P,31.0,0.38271604938271603,"(3.161290322580645, 3.161290322580645)","(0.2701612903225806, 0.2701612903225806)","(192.19354838709683, 152.19354838709685)","(0.558074185088048, 0.44192581491195215)"
Q,33.0,0.3333333333333333,"(5.0606060606060606, 4.121212121212121)","(0.40606060606060607, 0.39015151515151514)","(283.5151515151515, 275.878787878788)","(0.5068255687973997, 0.49317443120260035)"
R,39.0,0.43333333333333335,"(3.9743589743589745, 3.6666666666666665)","(0.3304843304843305, 0.3333333333333333)","(274.66666666666674, 258.9743589743589)","(0.5147030559292717, 0.48529694407072826)"
S,26.0,0.32098765432098764,"(4.038461538461538, 4.153846153846154)","(0.3798076923076923, 0.3942307692307693)","(209.38461538461542, 108.96153846153842)","(0.6577262293101367, 0.3422737706898634)"
T,16.0,0.2222222222222222,"(3.75, 2.25)","(0.39285714285714285, 0.15625)","(123.0, 43.0)","(0.7409638554216867, 0.25903614457831325)"
U,28.0,0.3111111111111111,"(4.0, 4.142857142857143)","(0.3333333333333333, 0.3928571428571429)","(195.42857142857142, 238.0)","(0.4508899143045484, 0.5491100856954515)"
V,24.0,0.26666666666666666,"(4.375, 3.9583333333333335)","(0.375, 0.3697916666666667)","(146.9583333333333, 117.625)","(0.5554330708661417, 0.44456692913385837)"
W,43.0,0.36752136752136755,"(6.046511627906977, 4.162790697674419)","(0.42054263565891475, 0.39534883720930236)","(237.86046511627913, 387.9069767441861)","(0.38011000445964027, 0.6198899955403597)"
X,28.0,0.3111111111111111,"(4.5, 4.142857142857143)","(0.3888888888888889, 0.3928571428571429)","(187.42857142857144, 107.0)","(0.6365841824357108, 0.36341581756428915)"
Y,18.0,0.2222222222222222,"(3.888888888888889, 2.9444444444444446)","(0.3611111111111111, 0.24305555555555558)","(92.94444444444446, 59.77777777777779)","(0.6085849399781739, 0.39141506002182613)"
Z,28.0,0.3888888888888889,"(3.642857142857143, 4.071428571428571)","(0.37755102040816324, 0.3839285714285714)","(267.85714285714295, 86.42857142857142)","(0.7560483870967744, 0.24395161290322573)"
